5.9634,-2.0896
4.6588,-5.0114
2.7005,-10.842
6.2809,7.0327
4.9442,-2.1375
1.8028,-9.3483
5.4666,-3.5423
3.7945,-8.7747
3.7858,-9.864
7.3187,4.7626
3.619,-11.06
9.5778,12.182
4.0052,-8.8811
6.424,5.2627
5.8186,-9.5606
9.3715,0.98031
8.888,13.22
8.2133,5.2272
11.631,16.533
5.8902,-2.3775
7.3719,0.44737
9.9414,9.0451
12.653,15.779
7.6243,6.7338
3.2795,-3.6058
6.0294,-1.5017
2.1829,-6.2482
4.5806,-5.1718
8.9649,8.6604
5.258,-0.95067
10.91,16.526
12.25,13.34
8.2026,7.0181
10.317,14.131
2.3461,-2.0999
7.5347,6.3928
9.9303,6.665
3.5242,-1.3001
6.9753,4.7634
4.3549,-8.8591
11.801,12.01
10.268,10.398
9.6361,8.4204
5.0127,-7.9569
11.078,15.101
4.0163,-8.9113
5.582,-3.6533
5.8019,-0.61476
6.4132,1.0383
6.9417,-4.7007
10.505,15.515
3.9712,-7.6922
6.9358,9.8708
7.3123,8.1368
7.2254,-3.2775
4.1859,-8.9723
12.195,12.579
8.7884,12.692
2.8016,-6.8706
7.0968,-0.063025
7.0821,0.32841
7.7493,9.7847
9.5792,13.782
10.702,16.815
8.7364,8.5772
8.2737,4.7863
9.9281,13.343
5.653,-0.191
9.6091,10.656
9.5243,11.049
10.391,13.909
5.8947,1.5656
2.6011,-8.5404
8.7681,13.16
8.6377,5.7403
11.241,9.9699
8.425,4.1588
11.686,15.608
4.5465,-5.6116
8.6806,7.6297
2.8452,-6.4935
1.7303,-7.9053
8.0491,6.9182
7.3139,4.3096
9.6474,8.7303
3.2318,-9.6449
1.9021,-10.14
5.2288,5.622
9.9293,9.199
3.3852,-5.5823
6.2655,5.0845
8.0684,7.2672
7.8694,5.7507
3.5727,-8.0978
5.0299,-4.4308
4.2686,-7.79
7.2374,3.8302
6.4034,7.8206
11.966,14.775
3.0701,-11.634
